transaction_id,transaction_date,transaction_time,transaction_qty,store_id,store_location,product_id,unit_price,product_category,product_type,product_detail
1,2023-01-01,08:08:47,1,5,Lower Manhattan,12,3.75,Bakery,Pastry,Croissant
2,2023-01-01,10:01:05,1,8,Hell's Kitchen,7,3.10,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg
3,2023-01-01,14:44:34,1,3,Astoria,6,3.50,Coffee,Gourmet brewed coffee,Ethiopia Rg
4,2023-01-01,15:10:44,1,3,Astoria,4,4.50,Coffee,Espresso,Latte
5,2023-01-01,07:24:06,1,5,Lower Manhattan,4,4.50,Coffee,Espresso,Latte
6,2023-01-01,14:34:07,2,3,Astoria,4,4.50,Coffee,Espresso,Latte
6,2023-01-01,14:34:07,1,3,Astoria,8,3.00,Tea,Brewed Black tea,English Breakfast Rg
6,2023-01-01,14:34:07,1,3,Astoria,14,4.25,Drinking Chocolate,Hot chocolate,Dark chocolate Lg
6,2023-01-01,14:34:07,1,3,Astoria,9,3.00,Tea,Brewed herbal tea,Peppermint Lg
7,2023-01-01,15:05:54,1,3,Astoria,2,3.00,Coffee,Drip coffee,Our Old Time Diner Blend Lg
8,2023-01-01,16:10:23,1,8,Hell's Kitchen,10,2.50,Tea,Brewed Green tea,Serenity Green Tea Rg
9,2023-01-01,13:38:40,1,8,Hell's Kitchen,11,3.50,Bakery,Scone,Oatmeal Scone
10,2023-01-01,09:59:40,1,5,Lower Manhattan,3,3.75,Coffee,Espresso,Cappuccino
10,2023-01-01,09:59:40,1,5,Lower Manhattan,4,4.50,Coffee,Espresso,Latte
11,2023-01-01,15:25:17,1,3,Astoria,15,3.50,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Sm
12,2023-01-01,09:41:31,1,8,Hell's Kitchen,15,3.50,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Sm
13,2023-01-01,08:47:35,1,5,Lower Manhattan,12,3.75,Bakery,Pastry,Croissant
14,2023-01-01,10:14:08,1,8,Hell's Kitchen,2,3.00,Coffee,Drip coffee,Our Old Time Diner Blend Lg
15,2023-01-01,08:10:50,1,3,Astoria,9,3.00,Tea,Brewed herbal tea,Peppermint Lg
15,2023-01-01,08:10:50,1,3,Astoria,5,2.50,Coffee,Espresso,Espresso Shot
16,2023-01-01,19:55:00,1,5,Lower Manhattan,2,3.00,Coffee,Drip coffee,Our Old Time Diner Blend Lg
16,2023-01-01,19:55:00,1,5,Lower Manhattan,15,3.50,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Sm
17,2023-01-01,07:27:10,2,5,Lower Manhattan,19,10.00,Loose Tea,Black tea,Earl Grey Rg
18,2023-01-01,19:48:11,1,5,Lower Manhattan,2,3.00,Coffee,Drip coffee,Our Old Time Diner Blend Lg
19,2023-01-01,11:12:09,2,8,Hell's Kitchen,2,3.00,Coffee,Drip coffee,Our Old Time Diner Blend Lg
20,2023-01-01,18:38:20,1,8,Hell's Kitchen,2,3.00,Coffee,Drip coffee,Our Old Time Diner Blend Lg
21,2023-01-01,08:15:56,2,5,Lower Manhattan,1,2.00,Coffee,Drip coffee,Our Old Time Diner Blend Sm
21,2023-01-01,08:15:56,3,5,Lower Manhattan,11,3.50,Bakery,Scone,Oatmeal Scone
22,2023-01-01,15:08:42,1,8,Hell's Kitchen,8,3.00,Tea,Brewed Black tea,English Breakfast Rg
23,2023-01-01,10:13:59,1,8,Hell's Kitchen,11,3.50,Bakery,Scone,Oatmeal Scone
24,2023-01-01,10:42:41,1,5,Lower Manhattan,15,3.50,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Sm
25,2023-01-01,08:21:01,1,3,Astoria,3,3.75,Coffee,Espresso,Cappuccino
25,2023-01-01,08:21:01,1,3,Astoria,1,2.00,Coffee,Drip coffee,Our Old Time Diner Blend Sm
26,2023-01-01,17:04:32,1,3,Astoria,10,2.50,Tea,Brewed Green tea,Serenity Green Tea Rg
27,2023-01-01,14:56:36,1,3,Astoria,3,3.75,Coffee,Espresso,Cappuccino
27,2023-01-01,14:56:36,1,3,Astoria,6,3.50,Coffee,Gourmet brewed coffee,Ethiopia Rg
28,2023-01-01,10:27:26,1,8,Hell's Kitchen,11,3.50,Bakery,Scone,Oatmeal Scone
29,2023-01-01,07:25:46,1,8,Hell's Kitchen,14,4.25,Drinking Chocolate,Hot chocolate,Dark chocolate Lg
30,2023-01-01,11:08:27,2,3,Astoria,6,3.50,Coffee,Gourmet brewed coffee,Ethiopia Rg
31,2023-01-01,10:55:54,2,3,Astoria,1,2.00,Coffee,Drip coffee,Our Old Time Diner Blend Sm
31,2023-01-01,10:55:54,2,3,Astoria,20,0.80,Flavours,Regular syrup,Vanilla syrup
32,2023-01-01,08:31:30,1,3,Astoria,5,2.50,Coffee,Espresso,Espresso Shot
33,2023-01-01,06:24:16,1,5,Lower Manhattan,12,3.75,Bakery,Pastry,Croissant
33,2023-01-01,06:24:16,1,5,Lower Manhattan,4,4.50,Coffee,Espresso,Latte
33,2023-01-01,06:24:16,1,5,Lower Manhattan,11,3.50,Bakery,Scone,Oatmeal Scone
34,2023-01-01,08:18:13,1,5,Lower Manhattan,8,3.00,Tea,Brewed Black tea,English Breakfast Rg
34,2023-01-01,08:18:13,1,5,Lower Manhattan,7,3.10,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg
34,2023-01-01,08:18:13,2,5,Lower Manhattan,12,3.75,Bakery,Pastry,Croissant
