method,sigma,success,sd_success,mean_err
Naive-Async,0.0,0.48086666666666666,0.04438958632550724,0.05927483072297222
Naive-Async,0.0025,0.46340000000000003,0.05222483227906016,0.06134119266402486
Naive-Async,0.005,0.37006666666666665,0.03746042507382983,0.06609770329228853
Naive-Async,0.01,0.1956,0.04025958851156059,0.07888846116077412
Naive-Async,0.02,0.07903333333333333,0.020104855518493562,0.1061019738715674
Sync,0.0,0.7478,0.027074768399752317,0.03560797321953799
Sync,0.0025,0.7422333333333333,0.02748450398285686,0.04295040098041171
Sync,0.005,0.6821666666666667,0.031089895989743377,0.04792864481082375
Sync,0.01,0.36506666666666665,0.03909254094286549,0.059898328443687976
Sync,0.02,0.12653333333333333,0.02811911818062998,0.08515527946599978
VLASH,0.0,0.7124666666666667,0.019302579339585634,0.04175581127416712
VLASH,0.0025,0.7173,0.027248936403966167,0.04795498076256943
VLASH,0.005,0.6007666666666667,0.041998285787282943,0.05530873297168745
VLASH,0.01,0.2735,0.03272618831090088,0.06995285722684748
VLASH,0.02,0.08743333333333334,0.019858370408556862,0.10045572745509697
