method,delta,mean_err,sd_err,jerk,success,sd_success,misalign,reaction
Naive-Async,0,0.03332766017477198,0.0043561865194307195,0.001019614733795302,0.7577333333333333,0.020935491027929066,0.0,8.40347619047619
Naive-Async,1,0.03836201557601267,0.0054609221543497205,0.0011377347412938014,0.7486333333333333,0.025088708828028515,0.0051657214653084,8.559511904761905
Naive-Async,2,0.048744177342041624,0.006758991322898426,0.0012060292955063056,0.6083666666666666,0.04469408489375073,0.012674822793674066,9.748714285714286
Naive-Async,3,0.060893379748171717,0.006042019292283831,0.001283177354972115,0.47476666666666667,0.04241706594041127,0.023192436551028994,10.92952380952381
Naive-Async,4,0.07122357600475498,0.009640785444504803,0.001364369406057474,0.3542666666666667,0.06241652929514506,0.035721610237379145,11.445940476190476
Sync,0,0.029362538720214597,0.0044793362263836475,0.001019614733795302,0.7798666666666666,0.023308636103530428,0.0,7.532904761904762
Sync,1,0.03188054356082972,0.00435963204178689,0.00103304686199503,0.7694666666666667,0.02116354629096875,0.0,8.179880952380953
Sync,2,0.033584337546331576,0.005867992389661265,0.001027655769278006,0.7579333333333333,0.026767581163798588,0.0,8.604583333333334
Sync,3,0.036600714096866736,0.00527484298083185,0.0010698596471531052,0.7465666666666667,0.02597620138797724,0.0,9.685904761904762
Sync,4,0.03763206291306843,0.0063752680297933595,0.0010251042072779524,0.7380666666666668,0.033146346285961054,0.0,9.614178571428571
VLASH,0,0.03332766017477198,0.0043561865194307195,0.001019614733795302,0.7577333333333333,0.020935491027929066,0.0,8.40347619047619
VLASH,1,0.033700297928777975,0.00496399633636285,0.0010289040192543594,0.7579666666666667,0.022716057632793957,0.0,8.557904761904762
VLASH,2,0.03826940460723972,0.0057488679921004595,0.001024346061679623,0.7341333333333333,0.02619965207226012,0.0,9.724321428571429
VLASH,3,0.04305218617206801,0.004710715027749331,0.001055033126895243,0.7097,0.01879803748139489,0.0,10.938380952380953
VLASH,4,0.04552814296025448,0.007154574247708421,0.001021824073852016,0.6948666666666666,0.027817105946161182,0.0,11.41615476190476
